artist,rank,song,year
Al Martino,73,"""I Love You More and More Every Day""",1964
Roy Orbison,74,It's Over,1964
The Four Seasons,75,Ronnie,1964
The Trashmen,76,Surfin' Bird,1964
The Tams,77,What Kind of Fool (Do You Think I Am),1964
Dean Martin,78,The Door Is Still Open to My Heart,1964
The Kinks,79,You Really Got Me,1964
Sammy Davis Jr.,80,"""The Shelter of Your Arms""",1964
The Impressions,81,"""I'm So Proud""",1964
The Jelly Beans,82,"""I Wanna Love Him So Bad""",1964
Roger Miller,83,Dang Me,1964
Al Hirt,84,Cotton Candy,1964
Nancy Wilson,85,(You Don't Know) How Glad I Am,1964
The Kingsmen,86,Money (That's What I Want),1964
The Searchers,87,Don't Throw Your Love Away,1964
Tommy Tucker,88,Hi-Heel Sneakers,1964
Gerry and the Pacemakers,89,How Do You Do It?,1964
The Ventures,90,"Walk, Don't Run '64",1964
The Dave Clark Five,91,Do You Love Me,1964
Robert Maxwell,92,Shangri-La,1964
Jumpin' Gene Simmons,93,"""Haunted House""",1964
Jimmy Hughes,94,"""Steal Away""",1964
The Beatles,95,I Saw Her Standing There,1964
Andy Williams,96,A Fool Never Learns,1964
Billy J. Kramer,97,Bad to Me,1964
Bobby Vinton,98,There! I've Said It Again,1964
The Kingsmen,99,Louie Louie,1964
The Searchers,100,Needles and Pins,1964
Sam the Sham and the Pharaohs,1,Wooly Bully,1965
Four Tops,2,I Can't Help Myself (Sugar Pie Honey Bunch),1965
The Rolling Stones,3,(I Can't Get No) Satisfaction,1965
We Five,4,You Were on My Mind,1965
