rank,song,artist,year,nationality,country
84,My Kind of Girl,Matt Monro,1961, England,UK
85,"Tonight My Love, Tonight",Paul Anka,1961, Canada,Canada
86,San Antonio Rose,Floyd Cramer,1961, United States,US
87,Big Bad John,Jimmy Dean,1961, Texas,US
88,Good Time Baby,Bobby Rydell,1961, United States,US
89,Rubber Ball,Bobby Vee,1961, U.S.,US
90,Missing You,Ray Peterson,1961, U.S.,US
91,Dum Dum,Brenda Lee,1961, US,US
92,I'm Gonna Knock on Your Door,Eddie Hodges,1961, U.S.,US
93,You Can Depend on Me,Brenda Lee,1961, US,US
94,Let's Twist Again,Chubby Checker,1961, U.S.,US
95,Take Five,The Dave Brubeck Quartet,1961, U.S.,US
96,Are You Lonesome Tonight?,Elvis Presley,1961, U.S.,US
97,Sea of Heartbreak,Don Gibson,1961, North Carolina,US
98,"""More Money for You and Me""",The Four Preps,1961, United States,US
99,You Must Have Been a Beautiful Baby,Bobby Darin,1961, U.S.,US
100,Please Stay,The Drifters,1961, U.S.,US
1,Stranger on the Shore,Acker Bilk,1962, United Kingdom,UK
2,I Can't Stop Loving You,Ray Charles,1962, U.S.[1],US
3,Mashed Potato Time,Dee Dee Sharp,1962, Pennsylvania,US
4,Roses Are Red (My Love),Bobby Vinton,1962, U.S.,US
5,The Stripper,David Rose,1962, England,UK
6,Johnny Angel,Shelley Fabares,1962, U.S.,US
7,The Loco-Motion,Little Eva,1962, U.S.,US
8,Let Me In,The Sensations,1962, U.S.,US
9,The Twist,Chubby Checker,1962, U.S.,US
10,Soldier Boy,The Shirelles,1962, US,US
11,Hey! Baby,Bruce Channel,1962, U.S.,US
12,The Wanderer,Dion,1962, U.S.,US
13,Duke of Earl,Gene Chandler,1962, U.S.,US
14,Palisades Park,Freddy Cannon,1962, U.S.,US
15,Breaking Up Is Hard to Do,Neil Sedaka,1962, United States,US
16,Wolverton Mountain,Claude King,1962, USA,US
17,Slow Twistin',Chubby Checker,1962, U.S.,US
18,It Keeps Right On a-Hurtin',Johnny Tillotson,1962, United States,US
19,The One Who Really Loves You,Mary Wells,1962, U.S.,US
20,Good Luck Charm,Elvis Presley,1962, U.S.,US
21,Midnight in Moscow,Kenny Ball,1962, England,UK
22,Sheila,Tommy Roe,1962, United States,US
